대분류,중분류,소분류,합계
영업활동,매출수금,MLB,"5,119,333,000"
영업활동,매출수금,MLB KIDS,"202,488,000"
영업활동,매출수금,DISCOVERY,"98,940,000"
영업활동,매출수금,DUVETICA,"1,332,000"
영업활동,매출수금,SUPRA,"14,193,000"
영업활동,물품대,본사,"-2,340,220,000"
영업활동,물품대,현지,"-246,342,000"
영업활동,본사선급금,,"-700,000,000"
영업활동,비용,광고비,"-249,671,416"
영업활동,비용,온라인 플랫폼비용,"-284,138,000"
영업활동,비용,오프라인 매장비용,"-259,718,000"
영업활동,비용,수입관세,"-366,011,000"
영업활동,비용,인건비,"-145,361,000"
영업활동,비용,보증금지급,"-3,250,000"
영업활동,비용,기타,"-210,880,000"
자산성지출,인테리어/VMD,,"-29,819,735"
자산성지출,비품취득,,"-9,069,200"
기타수익,,,"88,504,000"
차입금,,,"-679,685,000"
