level1,level2,MLB,MLB KIDS,DISCOVERY,DUVETICA,SUPRA
리테일매출,대리상," 577,990.606 "," 19,656.143 "," 2,764.841 ", - , - 
리테일매출,직영," 80,204.930 "," 9,179.281 "," 1,053.184 ", 149.043 , 103.232 
Tag매출,대리상(의류)," 535,751.655 "," 17,044.809 ",-189.800 ,,
Tag매출,대리상(ACC)," 260,130.857 "," 3,454.488 ", 65.898 ,,
Tag매출,직영," 102,852.440 "," 12,529.824 "," 1,169.255 ", 291.460 ," 1,030.816 "
실판매출,대리상(의류)," 200,251.711 "," 6,330.683 ",-75.584 ,,
실판매출,대리상(ACC)," 108,196.020 "," 1,283.969 ", 30.266 ,,
실판매출,직영," 71,357.488 "," 8,111.721 ", 930.821 ," 243,539.410 "," 91,353.090 "
매출원가,," 276,851.747 "," 10,133.505 ",-246.834 ," 203,514.070 ", 328.639 
평가감,,"-23,793.261 ","-5,399.992 ",-875.914 ,"-1,187,692.990 ",-943.016 
급여(매장),,"2,805.45",536.39973,30.69949,25788.49,0
복리후생비(매장),,1739.74406,436.73774,85.55321,5584.45,0
플랫폼수수료,,4359.07108,415.05257,50.9602,75.29,0
TP수수료,,4802.58794,339.16318,165.12936,-398.92,0
직접광고비,,4693.1852,714.09918,238.69986,-11.7,0
대리상지원금,,10676.3642,852.88658,41.03764,0,0
물류비,,7331.15256,616.98662,365.65206,64375.34,124.48587
매장임차료,,9110.90354,1833.6336,540.60624,457067.32,0
감가상각비,,612.0922,168.22185,63.12568,33460.67,0
기타(직접비),,923.36915,125.79674,275.9595,91007.03,0
급여(사무실),,7210.09181,821.86715,1312.77921,,
복리후생비(사무실),,2431.2386,210.11389,369.70436,,
광고비,,12530.4697,2098.4796,4337.01157,,
수주회,,204.09978,60.8779,0,,
지급수수료,,5378.02572,0,146.95,,
임차료,,1909.28713,0,0,,
감가상각비(영업비),,375.88266,3.10887,6.23579,,
세금과공과,,183.94472,0,0,,
기타(영업비),,432.39437,14.12883,49.23652,,
