브랜드,월,CN원가율,IMP원가율,CN비중,가중평균
MLB,25년1월,0.153,0.419,0.23,0.358
MLB,25년2월,0.154,0.416,0.193,0.366
MLB,25년3월,0.152,0.416,0.196,0.365
MLB,25년4월,0.153,0.412,0.121,0.381
MLB,25년5월,0.153,0.4,0.152,0.362
MLB,25년6월,0.144,0.394,0.121,0.363
MLB,25년7월,0.149,0.401,0.267,0.334
MLB,25년8월,0.152,0.389,0.164,0.35
MLB,25년9월,0.144,0.389,0.177,0.345
MLB,25년10월,0.142,0.385,0.097,0.361
MLB,25년11월,0.128,0.372,0.099,0.348
MLB,25년12월,0.144,0.37,0.122,0.343
MLB,26년1월,0.151,0.38,0.158,0.344
MLB,26년2월,0.149,0.386,0.174,0.345
MLB,26년3월,0.144,0.388,0.19,0.342
MLB,26년4월,0.141,0.388,0.176,0.345
MLB,전체,0.148,0.393,0.167,0.352
MLB KIDS,25년1월,0.193,0.423,0.332,0.347
MLB KIDS,25년2월,0.195,0.426,0.244,0.37
MLB KIDS,25년3월,0.186,0.466,0.368,0.363
MLB KIDS,25년4월,0.185,0.416,0.123,0.387
MLB KIDS,25년5월,0.18,0.403,0.315,0.333
MLB KIDS,25년6월,0.211,0.401,0.311,0.342
MLB KIDS,25년7월,0.213,0.416,0.359,0.343
MLB KIDS,25년8월,0.197,0.423,0.349,0.345
MLB KIDS,25년9월,0.197,0.427,0.17,0.388
MLB KIDS,25년10월,0.193,0.424,0.111,0.399
MLB KIDS,25년11월,0.204,0.42,0.22,0.373
MLB KIDS,25년12월,0.196,0.428,0.295,0.36
MLB KIDS,26년1월,0.192,0.43,0.25,0.371
MLB KIDS,26년2월,0.194,0.428,0.304,0.357
MLB KIDS,26년3월,0.189,0.428,0.328,0.35
MLB KIDS,26년4월,0.189,0.43,0.435,0.325
MLB KIDS,전체,0.195,0.425,0.273,0.362
